scenario_id,scenario_type,target_name,target_col,model_name,forecast_origin,horizon,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape,includes_eol,true_eol_cycle,true_rul
pre_02_o292_h30,pre_eol_rolling,capacity_raw,capacity_raw,Persistence,292,30,0.007246583425109939,0.007973364441040093,0.007376135638493663,0.007246583425109939,0.007973364441040093,0.007376135638493663,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_raw,capacity_raw,MovingAverage,292,30,0.005474294283812187,0.0062889371607666045,0.005570020780138971,0.005474294283812187,0.0062889371607666045,0.005570020780138971,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_raw,capacity_raw,RidgeRegression,292,30,0.005090688984831597,0.006582165087062874,0.005180590866432088,0.005090688984831597,0.006582165087062874,0.005180590866432088,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_raw,capacity_raw,RandomForestRegressor,292,30,0.005177212524742902,0.006209865459951975,0.0052682047528217835,0.005177212524742902,0.006209865459951975,0.0052682047528217835,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,292,30,0.00304483738099575,0.0035322952868856684,0.003096991863529815,0.005681688921990213,0.0063037815212507045,0.005780856498222633,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,292,30,0.00476512980796497,0.0056810766523209474,0.004841918702654044,0.005315012106525859,0.00728275221346134,0.005407854958256353,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,292,30,0.004208922659849212,0.005021926822526565,0.004278419798259766,0.005137807667599192,0.0068865015360679285,0.005228335171461735,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,292,30,0.005041178929275954,0.006011731748544871,0.005121358530211614,0.005350892247184894,0.007476511419292247,0.005444161976809229,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,Persistence,292,30,0.00469202617551352,0.005648126715197295,0.004777072822313735,0.006892614903779704,0.007467634919483391,0.007014706763642051,False,546,254
pre_02_o292_h30,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,292,30,0.005354900632544335,0.00556791561815433,0.005452496142850378,0.0057383036598397386,0.006324466749563077,0.005838439247733547,False,546,254
